origin,dest,count,time
1001,1322,10,2020/1/1
1326,1322,10,2020/1/1
1308,1322,1500,2020/1/1
1244,1322,25900,2020/1/1
1151,1322,1900,2020/1/1
1322,1326,400,2020/1/1
1322,1308,3000,2020/1/1
1322,1244,8800,2020/1/1
1322,1151,5400,2020/1/1
1322,1242,1600,2020/1/1
1242,1322,100,2020/1/1
1327,1322,10,2020/1/1
1322,1327,300,2020/1/1
1322,1185,500,2020/1/1
1185,1322,100,2020/1/1
1062,1322,300,2020/1/1
1123,1322,1500,2020/1/1
1322,1062,3900,2020/1/1
1322,1123,2700,2020/1/1
1218,1322,200,2020/1/1
1271,1322,10,2020/1/1
1322,1218,1400,2020/1/1
1322,1196,700,2020/1/1
1196,1322,100,2020/1/1
1219,1322,300,2020/1/1
1016,1322,13500,2020/1/1
1084,1322,20800,2020/1/1
1106,1322,72600,2020/1/1
1322,1219,2000,2020/1/1
1322,1016,13300,2020/1/1
1322,1084,10800,2020/1/1
1322,1106,21100,2020/1/1
1322,1195,4400,2020/1/1
1195,1322,2100,2020/1/1
1191,1322,400,2020/1/1
1243,1322,1000,2020/1/1
1230,1322,500,2020/1/1
1322,1191,1300,2020/1/1
1322,1243,2500,2020/1/1
1322,1230,2300,2020/1/1
1269,1322,50,2020/1/1
1149,1322,100,2020/1/1
1322,1149,2600,2020/1/1
1107,1322,100,2020/1/1
1158,1322,300,2020/1/1
1039,1322,500,2020/1/1
1237,1322,100,2020/1/1
1282,1322,9800,2020/1/1
1322,1107,1200,2020/1/1
1322,1158,1300,2020/1/1
1322,1039,2000,2020/1/1
1322,1237,900,2020/1/1
1322,1282,4100,2020/1/1
1322,1245,1600,2020/1/1
1245,1322,100,2020/1/1
1089,1322,4000,2020/1/1
1028,1322,800,2020/1/1
1260,1322,500,2020/1/1
1058,1322,24500,2020/1/1
1322,1089,3400,2020/1/1
1322,1028,4200,2020/1/1
1322,1260,2900,2020/1/1
1322,1058,7400,2020/1/1
1322,1173,2600,2020/1/1
1173,1322,200,2020/1/1
1082,1322,300,2020/1/1
1064,1322,50,2020/1/1
1330,1322,50,2020/1/1
1216,1322,11100,2020/1/1
1322,1082,1100,2020/1/1
1322,1330,400,2020/1/1
1322,1216,5500,2020/1/1
1322,1288,5200,2020/1/1
1322,1130,4400,2020/1/1
1288,1322,1600,2020/1/1
1130,1322,400,2020/1/1
1333,1322,50,2020/1/1
1193,1322,26200,2020/1/1
1322,1333,200,2020/1/1
1322,1193,15800,2020/1/1
1322,1316,1500,2020/1/1
1316,1322,400,2020/1/1
1145,1322,50700,2020/1/1
1322,1145,7500,2020/1/1
1322,1235,800,2020/1/1
1235,1322,100,2020/1/1
1322,1224,10,2020/1/1
1224,1322,1200,2020/1/1
1001,1322,10,2020/1/1
1022,1322,50,2020/1/1
1200,1322,91800,2020/1/1
1322,1022,500,2020/1/1
1322,1200,31800,2020/1/1
1175,1322,100,2020/1/1
1111,1322,1100,2020/1/1
1322,1175,900,2020/1/1
1322,1111,6000,2020/1/1
1322,1225,1100,2020/1/1
1322,1141,1300,2020/1/1
1225,1322,200,2020/1/1
1141,1322,400,2020/1/1
1119,1322,800,2020/1/1
1322,1119,1800,2020/1/1
1322,1342,1100,2020/1/1
1342,1322,50,2020/1/1
1340,1322,10,2020/1/1
1051,1322,600,2020/1/1
1169,1322,4700,2020/1/1
1322,1051,1200,2020/1/1
1322,1169,5800,2020/1/1
1322,1182,1700,2020/1/1
1322,1053,1000,2020/1/1
1182,1322,600,2020/1/1
1053,1322,200,2020/1/1
1032,1322,200,2020/1/1
1150,1322,28000,2020/1/1
1239,1322,700,2020/1/1
1322,1032,2600,2020/1/1
1322,1150,10800,2020/1/1
1322,1239,4200,2020/1/1
1322,1203,10100,2020/1/1
1203,1322,5000,2020/1/1
1066,1322,29400,2020/1/1
1322,1066,6300,2020/1/1
1322,1147,2300,2020/1/1
1147,1322,200,2020/1/1
1094,1322,2700,2020/1/1
1322,1094,6000,2020/1/1
1322,1198,3100,2020/1/1
1322,1096,5700,2020/1/1
1198,1322,900,2020/1/1
1096,1322,7000,2020/1/1
1108,1322,3500,2020/1/1
1192,1322,12900,2020/1/1
1322,1108,4000,2020/1/1
1322,1192,9400,2020/1/1
